[2026-07-14T19:14:18.004Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-14T19:14:18.004Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-14T19:14:18.004Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-14T19:14:18.004Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-14T19:14:18.004Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-14T19:14:18.004Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-14T19:14:18.004Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-14T19:14:18.004Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-14T19:14:18.004Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-14T19:14:18.005Z] [INFO] Daemon started (PID: 185801, CPUs: 24, workers: 7, maxCpuLoad: 19.200000000000003, minFreeMemoryPercent: 10%)
[2026-07-14T19:14:18.006Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-14T19:14:18.006Z] [INFO] Worker map completed in 0ms
[2026-07-14T19:16:18.011Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-14T19:16:18.011Z] [INFO] Worker audit completed in 1ms
[2026-07-14T19:18:18.009Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-14T19:18:18.009Z] [INFO] Worker optimize completed in 0ms
[2026-07-14T19:20:18.010Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-14T19:20:18.011Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-14T19:20:18.011Z] [INFO] Worker consolidate completed in 1ms
